City,State,Population,Area,Density,Lat,Lng
Wilminton,Delaware,70635,10.9,6552,39.7458,-75.5466
Washington,District of Columbia,702455,61.1,11148,38.9041,-77.0172
Cape Coral,Florida,189343,105.6,1703,26.6432,-81.9974
Clearwater,Florida,116478,25.9,4415,27.9789,-82.7666
Coral Springs,Florida,133507,23.8,5465,26.2707,-80.2593
Davie,Florida,106558,34.9,2919,26.0791,-80.285
Fort Lauderdale,Florida,182595,34.6,5166,26.1412,-80.1467
Gainesville,Florida,133857,62.3,2112,29.6788,-82.3461
Hialeah,Florida,238942,21.5,10995,25.8699,-80.3029
Hollywood,Florida,154823,27.3,5568,26.031,-80.1646
Jacksonville,Florida,903889,747.4,1178,30.3369,-81.6616
Lakeland,Florida,110516,65.9,1615,28.0555,-81.9549
Miami,Florida,470914,36,12599,25.7752,-80.2086
Miami Gardens,Florida,113069,18.2,6212,25.9489,-80.2436
Miramar,Florida,140823,29.4,4709,25.977,-80.3358
Orlando,Florida,285713,105.2,2635,28.4166,-81.2736
Palm Bay,Florida,114194,65.7,1676,27.9856,-80.6626
Pembroke Pines,Florida,172374,33,5109,26.021,-80.3404
Pompano Beach,Florida,111954,24,4558,26.2416,-80.1339
Port St. Lucie,Florida,195248,118.9,1557,27.2806,-80.3883
St. Petersburg,Florida,265098,61.8,4223,27.762,-82.6441
Tallahassee,Florida,193551,100.4,1901,30.4551,-84.2534
Tampa,Florida,392890,113.4,3326,27.9701,-82.4797
West Palm Beach,Florida,111398,55.1,1963,26.7464,-80.1251
Athens,Georgia,125964,116.4,1060,33.9496,-83.3701
Atlanta,Georgia,498044,133.5,3539,33.7629,-84.4227
Augusta,Georgia,196939,302.5,652,33.3655,-82.0734
Columbus,Georgia,194160,216.4,913,32.5102,-84.8749
Macon,Georgia,153095,249.3,612,32.8088,-83.6942
Sandy Springs,Georgia,108797,37.7,2804,33.9315,-84.3687
Savannah,Georgia,145862,103.6,1417,32.0025,-81.1536
Honolulu,Hawaii,347397,60.5,5815,21.3243,-157.8476
Boise,Idaho,228790,82.1,2718,43.6002,-116.2317
Meridian,Idaho,106804,29.8,3584,43.6142,-116.3989
Aurora,Illinois,199602,44.9,4479,41.7635,-88.2901
Chicago,Illinois,2705994,227.3,11900,41.8376,-87.6818
Elgin,Illinois,111683,37.4,2998,42.0396,-88.3217
Joliet,Illinois,148099,64.4,2302,41.5177,-88.1488
Naperville,Illinois,148304,38.7,3802,41.7492,-88.162
Peoria,Illinois,111388,48.2,2371,40.7515,-89.6174
Rockford,Illinois,146526,63.5,2325,42.2588,-89.0646
Springfield,Illinois,114694,60.1,1925,39.7911,-89.6446
Evansville,Indiana,117963,47.3,2526,37.9877,-87.5347
Fort Wayne,Indiana,267633,110.6,2391,41.0882,-85.1439
Indianapolis,Indiana,867125,361.5,2366,39.7767,-86.1459
South Bend,Indiana,101860,41.4,2457,41.6769,-86.269
Cedar Rapids,Iowa,133174,70.8,1852,41.967,-91.6778
Davenport,Iowa,102085,62.9,1631,41.5541,-90.604
Des Moines,Iowa,216853,88.9,2424,41.5726,-93.6102
Kansas City,Kansas,152958,124.8,1216,39.1225,-94.7418
Olathe,Kansas,139605,60.9,2225,38.8843,-94.8195
Overland Park,Kansas,192536,75.1,2516,38.889,-94.6906
Topeka,Kansas,125904,61.5,2062,39.0347,-95.6962
Wichita,Kansas,389255,160.4,2431,37.6907,-97.3459
Lexington,Kentucky,323780,283.6,1123,38.0407,-84.4583
